group_id,should_run,status,vae_name,vae_config,vae_type,latent_kind,sit_scale,sit_model,ifid_exp_name,exp_path,args_json,ckpt_step,ckpt_file,expected_ifid,expected_gfid_wo_cfg,expected_gfid_w_cfg,cfg_modes,hf_or_local_source,imagenet_train_dir,imagenet_val_dir,label_map_json,fid_reference_file,load_policy,load_check,inference_check,rfid_check,ifid_check,gfid_check,garfid_check,pcc_srcc_check,notes
sdvae_b,yes,todo,SD-VAE,./configs/SDVAE.yaml,mse,/2,SiT-B,SiT-B/2,sit-b-sdvae-400k,assets/stage2_assets/sit-b-sdvae-400k,args.json,400000,,59.91,46.74,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['baseline 2D latent']
sdvae_xl,yes,todo,SD-VAE,./configs/SDVAE.yaml,mse,/2,SiT-XL,SiT-XL/2,sit-xl-sdvae-400k,assets/stage2_assets/sit-xl-sdvae-400k,args.json,400000,,59.91,25.91,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['baseline 2D latent']
fluxvae_b,yes,todo,FLUX-VAE,./configs/FLUXVAE.yaml,flux,/2,SiT-B,SiT-B/2,sit-b-fluxvae-400k,assets/stage2_assets/sit-b-fluxvae-400k,args.json,400000,,67.41,63.32,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
fluxvae_xl,yes,todo,FLUX-VAE,./configs/FLUXVAE.yaml,flux,/2,SiT-XL,SiT-XL/2,sit-xl-fluxvae-400k,assets/stage2_assets/sit-xl-fluxvae-400k,args.json,400000,,67.41,34.06,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
qwvae_b,yes,todo,QW-VAE,./configs/QWVAE.yaml,qwen,/2,SiT-B,SiT-B/2,sit-b-qwvae-400k,assets/stage2_assets/sit-b-qwvae-400k,args.json,400000,,30.58,48.34,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
qwvae_xl,yes,todo,QW-VAE,./configs/QWVAE.yaml,qwen,/2,SiT-XL,SiT-XL/2,sit-xl-qwvae-400k,assets/stage2_assets/sit-xl-qwvae-400k,args.json,400000,,30.58,23.62,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
sd3vae_b,yes,todo,SD3-VAE,./configs/SD3VAE.yaml,sd3,/2,SiT-B,SiT-B/2,sit-b-sd3vae-400k,assets/stage2_assets/sit-b-sd3vae-400k,args.json,400000,,37.13,51.39,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
sd3vae_xl,yes,todo,SD3-VAE,./configs/SD3VAE.yaml,sd3,/2,SiT-XL,SiT-XL/2,sit-xl-sd3vae-400k,assets/stage2_assets/sit-xl-sd3vae-400k,args.json,400000,,37.13,26.38,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['diffusers vae']
eqvae_b,yes,todo,EQ-VAE,./configs/EQVAE.yaml,eqvae,/2,SiT-B,SiT-B/2,sit-b-eqvae-400k,assets/stage2_assets/sit-b-eqvae-400k,args.json,400000,,47.51,37.81,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,eq-vae 2D latent
eqvae_xl,yes,todo,EQ-VAE,./configs/EQVAE.yaml,eqvae,/2,SiT-XL,SiT-XL/2,sit-XL-eqvae-400k,assets/stage2_assets/sit-XL-eqvae-400k,args.json,400000,,47.51,20.81,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,eq-vae 2D latent
